Wells:	384
Plates:	3
Plate	Well	Content
*	*	sample
1 	 A02 	 all star 
1 	 A23 	 all star 
1 	 A24 	 empty 
1 	 B01 	 empty 
1 	 B02 	 all star 
1 	 B23 	 all star 
1 	 B24 	 empty 
1 	 C01 	 empty 
1 	 C02 	 all star 
1 	 C23 	 all star 
1 	 C24 	 empty 
1 	 D01 	 empty 
1 	 D02 	 all star 
1 	 D23 	 all star 
1 	 D24 	 empty 
1 	 E01 	 empty 
1 	 E02 	 sicon 1 
1 	 E23 	 sicon 1 
1 	 E24 	 empty 
1 	 F01 	 empty 
1 	 F02 	 sicon 1 
1 	 F23 	 sicon 1 
1 	 F24 	 empty 
1 	 G01 	 empty 
1 	 G02 	 sicon 1 
1 	 G23 	 sicon 1 
1 	 G24 	 empty 
1 	 H01 	 empty 
1 	 H02 	 sicon 1 
1 	 H23 	 sicon 1 
1 	 H24 	 empty 
1 	 I01 	 empty 
1 	 I02 	 sicon 2 
1 	 I23 	 sicon 2 
1 	 I24 	 empty 
1 	 J01 	 empty 
1 	 J02 	 sicon 2 
1 	 J23 	 sicon 2 
1 	 J24 	 empty 
1 	 K01 	 empty 
1 	 K02 	 sicon 2 
1 	 K23 	 sicon 2 
1 	 K24 	 empty 
1 	 L01 	 empty 
1 	 L02 	 sicon 2 
1 	 L23 	 sicon 2 
1 	 L24 	 empty 
1 	 M01 	 empty 
1 	 M02 	 plk 
1 	 M23 	 plk 
1 	 M24 	 empty 
1 	 N01 	 empty 
1 	 N02 	 plk 
1 	 N23 	 plk 
1 	 N24 	 empty 
1 	 O01 	 empty 
1 	 O02 	 plk 
1 	 O23 	 plk 
1 	 O24 	 empty 
1 	 P01 	 empty 
1 	 P02 	 plk 
1 	 P23 	 plk 
1 	 P24 	 empty 
2 	 A01 	 empty 
2 	 A02 	 all star 
2 	 A23 	 all star 
2 	 A24 	 empty 
2 	 B01 	 empty 
2 	 B02 	 all star 
2 	 B23 	 all star 
2 	 B24 	 empty 
2 	 C01 	 empty 
2 	 C02 	 all star 
2 	 C23 	 all star 
2 	 C24 	 empty 
2 	 D01 	 empty 
2 	 D02 	 all star 
2 	 D23 	 all star 
2 	 D24 	 empty 
2 	 E01 	 empty 
2 	 E02 	 sicon 1 
2 	 E23 	 sicon 1 
2 	 E24 	 empty 
2 	 F01 	 empty 
2 	 F02 	 sicon 1 
2 	 F23 	 sicon 1 
2 	 F24 	 empty 
2 	 G01 	 empty 
2 	 G02 	 sicon 1 
2 	 G23 	 sicon 1 
2 	 G24 	 empty 
2 	 H01 	 empty 
2 	 H02 	 sicon 1 
2 	 H23 	 sicon 1 
2 	 H24 	 empty 
2 	 I01 	 empty 
2 	 I02 	 sicon 2 
2 	 I23 	 sicon 2 
2 	 I24 	 empty 
2 	 J01 	 empty 
2 	 J02 	 sicon 2 
2 	 J23 	 sicon 2 
2 	 J24 	 empty 
2 	 K01 	 empty 
2 	 K02 	 sicon 2 
2 	 K23 	 sicon 2 
2 	 K24 	 empty 
2 	 L01 	 empty 
2 	 L02 	 sicon 2 
2 	 L23 	 sicon 2 
2 	 L24 	 empty 
2 	 M01 	 empty 
2 	 M02 	 plk 
2 	 M23 	 plk 
2 	 M24 	 empty 
2 	 N01 	 empty 
2 	 N02 	 plk 
2 	 N23 	 plk 
2 	 N24 	 empty 
2 	 O01 	 empty 
2 	 O02 	 plk 
2 	 O23 	 plk 
2 	 O24 	 empty 
2 	 P01 	 empty 
2 	 P02 	 plk 
2 	 P23 	 plk 
2 	 P24 	 empty 
3 	 A01 	 empty 
3 	 A02 	 all star 
3 	 A23 	 all star 
3 	 A24 	 empty 
3 	 B01 	 empty 
3 	 B02 	 all star 
3 	 B03 	 empty 
3 	 B04 	 empty 
3 	 B05 	 empty 
3 	 B06 	 empty 
3 	 B07 	 empty 
3 	 B08 	 empty 
3 	 B09 	 empty 
3 	 B10 	 empty 
3 	 B11 	 empty 
