Wells: 384		
Plates: 7		
Plate	Well	Content
*	*	sample
1	A01	allstar
1	A02	allstar
1	A23	allstar
1	A24	allstar
1	B01	allstar
1	B02	allstar
1	B23	allstar
1	B24	allstar
1	C01	allstar
1	C02	allstar
1	C23	allstar
1	C24	allstar
1	D01	allstar
1	D02	allstar
1	D23	allstar
1	D24	allstar
2	A01	allstar
2	A02	allstar
2	A23	allstar
2	A24	allstar
2	B01	allstar
2	B02	allstar
2	B23	allstar
2	B24	allstar
2	C01	allstar
2	C02	allstar
2	C23	allstar
2	C24	allstar
2	D01	allstar
2	D02	allstar
2	D23	allstar
2	D24	allstar
3	A01	allstar
3	A02	allstar
3	A23	allstar
3	A24	allstar
3	C01	allstar
3	C02	allstar
3	C23	allstar
3	C24	allstar
4	A01	allstar
4	A02	allstar
4	A23	allstar
4	A24	allstar
4	B01	allstar
4	B02	allstar
4	B23	allstar
4	B24	allstar
4	C01	allstar
4	C02	allstar
4	C23	allstar
4	C24	allstar
4	D01	allstar
4	D02	allstar
4	D23	allstar
4	D24	allstar
5	A01	allstar
5	A02	allstar
5	A23	allstar
5	A24	allstar
5	B01	allstar
5	B02	allstar
5	B23	allstar
5	B24	allstar
5	C01	allstar
5	C02	allstar
5	C23	allstar
5	C24	allstar
5	D01	allstar
5	D02	allstar
5	D23	allstar
5	D24	allstar
6	A01	allstar
6	A02	allstar
6	A23	allstar
6	A24	allstar
6	B01	allstar
6	B02	allstar
6	B23	allstar
6	B24	allstar
6	C01	allstar
6	C02	allstar
6	C23	allstar
6	C24	allstar
6	D01	allstar
6	D02	allstar
6	D23	allstar
6	D24	allstar
7	A01	allstar
7	A02	allstar
7	A23	allstar
7	A24	allstar
7	B01	allstar
7	B02	allstar
7	B23	allstar
7	B24	allstar
7	C01	allstar
7	C02	allstar
7	C23	allstar
7	C24	allstar
7	D01	allstar
7	D02	allstar
7	D23	allstar
7	D24	allstar
3	B01	empty
3	B02	empty
3	B03	empty
3	B04	empty
3	B05	empty
3	B06	empty
3	B07	empty
3	B08	empty
3	B09	empty
3	B10	empty
3	B11	empty
3	B12	empty
3	B13	empty
3	B14	empty
3	B15	empty
3	B16	empty
3	B17	empty
3	B18	empty
3	B19	empty
3	B20	empty
3	B21	empty
3	B22	empty
3	B23	empty
3	B24	empty
3	D01	empty
3	D02	empty
3	D03	empty
3	D04	empty
3	D05	empty
3	D06	empty
3	D07	empty
3	D08	empty
3	D09	empty
3	D10	empty
3	D11	empty
3	D12	empty
3	D13	empty
3	D14	empty
3	D15	empty
3	D16	empty
3	D17	empty
3	D18	empty
3	D19	empty
3	D20	empty
3	D21	empty
3	D22	empty
3	D23	empty
3	D24	empty
3	F01	empty
3	F02	empty
3	F03	empty
3	F04	empty
3	F05	empty
3	F06	empty
3	F07	empty
3	F08	empty
3	F09	empty
3	F10	empty
3	F11	empty
3	F12	empty
3	F13	empty
3	F14	empty
3	F15	empty
3	F16	empty
3	F17	empty
3	F18	empty
3	F19	empty
3	F20	empty
3	F21	empty
3	F22	empty
3	F23	empty
3	F24	empty
3	H01	empty
3	H02	empty
3	H03	empty
3	H04	empty
3	H05	empty
3	H06	empty
3	H07	empty
3	H08	empty
3	H09	empty
3	H10	empty
3	H11	empty
3	H12	empty
3	H13	empty
3	H14	empty
3	H15	empty
3	H16	empty
3	H17	empty
3	H18	empty
3	H19	empty
3	H20	empty
3	H21	empty
3	H22	empty
3	H23	empty
3	H24	empty
3	J01	empty
3	J02	empty
3	J03	empty
3	J04	empty
3	J05	empty
3	J06	empty
3	J07	empty
3	J08	empty
3	J09	empty
3	J10	empty
3	J11	empty
3	J12	empty
3	J13	empty
3	J14	empty
3	J15	empty
3	J16	empty
3	J17	empty
3	J18	empty
3	J19	empty
3	J20	empty
3	J21	empty
3	J22	empty
3	J23	empty
3	J24	empty
3	L01	empty
3	L02	empty
3	L03	empty
3	L04	empty
3	L05	empty
3	L06	empty
3	L07	empty
3	L08	empty
3	L09	empty
3	L10	empty
3	L11	empty
3	L12	empty
3	L13	empty
3	L14	empty
3	L15	empty
3	L16	empty
3	L17	empty
3	L18	empty
3	L19	empty
3	L20	empty
3	L21	empty
3	L22	empty
3	L23	empty
3	L24	empty
3	N01	empty
3	N02	empty
3	N03	empty
3	N04	empty
3	N05	empty
3	N06	empty
3	N07	empty
3	N08	empty
3	N09	empty
3	N10	empty
3	N11	empty
3	N12	empty
3	N13	empty
3	N14	empty
3	N15	empty
3	N16	empty
3	N17	empty
3	N18	empty
3	N19	empty
3	N20	empty
3	N21	empty
3	N22	empty
3	N23	empty
3	N24	empty
3	P01	empty
3	P02	empty
3	P03	empty
3	P04	empty
3	P05	empty
3	P06	empty
3	P07	empty
3	P08	empty
3	P09	empty
3	P10	empty
3	P11	empty
3	P12	empty
3	P13	empty
3	P14	empty
3	P15	empty
3	P16	empty
3	P17	empty
3	P18	empty
3	P19	empty
3	P20	empty
3	P21	empty
3	P22	empty
3	P23	empty
3	P24	empty
4	D18	empty
4	D20	empty
4	D22	empty
4	F04	empty
4	F06	empty
4	F08	empty
4	F10	empty
4	F12	empty
4	F14	empty
4	F16	empty
4	F18	empty
4	F20	empty
4	F22	empty
4	H04	empty
4	H06	empty
4	H08	empty
4	H10	empty
4	H12	empty
4	H14	empty
4	H16	empty
4	H18	empty
4	H20	empty
4	H22	empty
