Wells:	96	
Plates:	9	
Plate	Well	Content
*	*	sample
1	A12	allSTAR
1	D01	allSTAR
1	F12	allSTAR
2	A12	allSTAR
2	D01	allSTAR
2	F12	allSTAR
3	A12	allSTAR
3	D01	allSTAR
3	F12	allSTAR
4	A12	allSTAR
4	D01	allSTAR
4	F12	allSTAR
5	A12	allSTAR
5	D01	allSTAR
5	F12	allSTAR
6	A12	allSTAR
6	D01	allSTAR
6	F12	allSTAR
7	A12	allSTAR
7	D01	allSTAR
7	F12	allSTAR
8	A12	allSTAR
8	D01	allSTAR
8	F12	allSTAR
9	A12	allSTAR
9	D01	allSTAR
9	F12	allSTAR
1	B12	PLK1
1	C06	PLK1
1	E01	PLK1
1	G12	PLK1
2	B12	PLK1
2	E01	PLK1
2	G12	PLK1
3	B12	PLK1
3	E01	PLK1
3	G12	PLK1
4	B12	PLK1
4	E01	PLK1
4	G12	PLK1
5	B12	PLK1
5	E01	PLK1
5	G12	PLK1
6	B12	PLK1
6	E01	PLK1
6	G12	PLK1
7	B12	PLK1
7	E01	PLK1
7	G12	PLK1
8	B12	PLK1
8	E01	PLK1
8	G12	PLK1
9	B12	PLK1
9	E01	PLK1
9	G12	PLK1
1	B01	siCON1
1	D12	siCON1
1	G01	siCON1
2	B01	siCON1
2	D12	siCON1
2	G01	siCON1
3	B01	siCON1
3	D12	siCON1
3	G01	siCON1
4	B01	siCON1
4	D12	siCON1
4	G01	siCON1
5	B01	siCON1
5	D12	siCON1
5	G01	siCON1
6	B01	siCON1
6	D12	siCON1
6	G01	siCON1
7	B01	siCON1
7	D12	siCON1
7	G01	siCON1
8	B01	siCON1
8	D12	siCON1
8	G01	siCON1
9	B01	siCON1
9	D12	siCON1
9	G01	siCON1
1	C01	siCON2
1	E12	siCON2
1	H01	siCON2
2	C01	siCON2
2	E12	siCON2
2	H01	siCON2
3	C01	siCON2
3	E12	siCON2
3	H01	siCON2
4	C01	siCON2
4	E12	siCON2
4	H01	siCON2
5	C01	siCON2
5	E12	siCON2
5	H01	siCON2
6	C01	siCON2
6	E12	siCON2
6	H01	siCON2
7	C01	siCON2
7	E12	siCON2
7	H01	siCON2
8	C01	siCON2
8	E12	siCON2
8	H01	siCON2
9	C01	siCON2
9	E12	siCON2
9	H01	siCON2
