Filename	Plate	Replicate
ENDOMETRIUM_HCC1187_KS_TS_CGC_384_template_2014-10-28_P1.txt	1	1
ENDOMETRIUM_HCC1187_KS_TS_CGC_384_template_2014-10-28_P2.txt	2	1
ENDOMETRIUM_HCC1187_KS_TS_CGC_384_template_2014-10-28_P3.txt	3	1
ENDOMETRIUM_HCC1187_KS_TS_CGC_384_template_2014-10-28_P4.txt	4	1
ENDOMETRIUM_HCC1187_KS_TS_CGC_384_template_2014-10-28_P5.txt	1	2
ENDOMETRIUM_HCC1187_KS_TS_CGC_384_template_2014-10-28_P6.txt	2	2
ENDOMETRIUM_HCC1187_KS_TS_CGC_384_template_2014-10-28_P7.txt	3	2
ENDOMETRIUM_HCC1187_KS_TS_CGC_384_template_2014-10-28_P8.txt	4	2
ENDOMETRIUM_HCC1187_KS_TS_CGC_384_template_2014-10-28_P9.txt	1	3
ENDOMETRIUM_HCC1187_KS_TS_CGC_384_template_2014-10-28_P10.txt	2	3
ENDOMETRIUM_HCC1187_KS_TS_CGC_384_template_2014-10-28_P11.txt	3	3
ENDOMETRIUM_HCC1187_KS_TS_CGC_384_template_2014-10-28_P12.txt	4	3
