Filename	Plate	Replicate

Breast_BT549_KS_TS_384_template_2014-06-25_P1.txt	1	1

Breast_BT549_KS_TS_384_template_2014-06-25_P2.txt	2	1

Breast_BT549_KS_TS_384_template_2014-06-25_P3.txt	3	1

Breast_BT549_KS_TS_384_template_2014-06-25_P4.txt	1	2

Breast_BT549_KS_TS_384_template_2014-06-25_P5.txt	2	2

Breast_BT549_KS_TS_384_template_2014-06-25_P6.txt	3	2

Breast_BT549_KS_TS_384_template_2014-06-25_P7.txt	1	3

Breast_BT549_KS_TS_384_template_2014-06-25_P8.txt	2	3

Breast_BT549_KS_TS_384_template_2014-06-25_P9.txt	3	3

