Plate	Well	GeneID	Precursor
1	A01	empty	empty
1	A02	all star	control
1	A03	TTK	gene
1	A04	PIK3CA	gene
1	A05	SYK	gene
1	A06	KIAA1804	gene
1	A07	EPHA8	gene
1	A08	NAGK	gene
1	A09	DMPK	gene
1	A10	IRAK1	gene
1	A11	COASY	gene
1	A12	EEF2K	gene
1	A13	MYO3B	gene
1	A14	ANKK1	gene
1	A15	PRKWNK2	gene
1	A16	MAP3K5	gene
1	A17	PTK2	gene
1	A18	PRKAA1	gene
1	A19	FER	gene
1	A20	RPS6KA4	gene
1	A21	CAMK2B	gene
1	A22	CALM1	gene
1	A23	all star	control
1	A24	empty	empty
1	B01	empty	empty
1	B02	all star	control
1	B03	MAP3K2	gene
1	B04	STK31	gene
1	B05	LATS2	gene
1	B06	AKT3	gene
1	B07	P101-PI3K	gene
1	B08	NLK	gene
1	B09	DGKG	gene
1	B10	PFKFB3	gene
1	B11	MAST3	gene
1	B12	TESK2	gene
1	B13	EFNA3	gene
1	B14	EPHA7	gene
1	B15	BCKDK	gene
1	B16	STK35	gene
1	B17	ITPKA	gene
1	B18	STK11	gene
1	B19	NEK6	gene
1	B20	JAK2	gene
1	B21	BLK	gene
1	B22	BRD2	gene
1	B23	all star	control
1	B24	empty	empty
1	C01	empty	empty
1	C02	all star	control
1	C03	ACVRL1	gene
1	C04	FLJ32685	gene
1	C05	LYN	gene
1	C06	ITPKC	gene
1	C07	PAPSS1	gene
1	C08	EPHA5	gene
1	C09	MAPK4	gene
1	C10	MLCK	gene
1	C11	MASTL	gene
1	C12	PSKH1	gene
1	C13	TRIB1	gene
1	C14	AURKC	gene
1	C15	BRD3	gene
1	C16	PRKCE	gene
1	C17	FLJ34389	gene
1	C18	AK1	gene
1	C19	HK1	gene
1	C20	TRPM6	gene
1	C21	THNSL1	gene
1	C22	CLK1	gene
1	C23	all star	control
1	C24	empty	empty
1	D01	empty	empty
1	D02	all star	control
1	D03	DGKK	gene
1	D04	CDKN2C	gene
1	D05	MPP2	gene
1	D06	MAP2K3	gene
1	D07	BUB1	gene
1	D08	LCK	gene
1	D09	UHMK1	gene
1	D10	CIB2	gene
1	D11	PRKCM	gene
1	D12	AAK1	gene
1	D13	PIK4CB	gene
1	D14	PIK3R2	gene
1	D15	DLG4	gene
1	D16	IRAK2	gene
1	D17	BTK	gene
1	D18	ACVR1C	gene
1	D19	MAP3K15	gene
1	D20	ACVR1B	gene
1	D21	GSK3A	gene
1	D22	CPNE3	gene
1	D23	all star	control
1	D24	empty	empty
1	E01	empty	empty
1	E02	sicon 1	control
1	E03	ALS2CR2	gene
1	E04	PAPSS2	gene
1	E05	CARKL	gene
1	E06	RPS6KB2	gene
1	E07	ADK	gene
1	E08	PFTK1	gene
1	E09	ABL2	gene
1	E10	NME5	gene
1	E11	PLK1	gene
1	E12	SRC	gene
1	E13	MINK	gene
1	E14	NEK4	gene
1	E15	CDKL3	gene
1	E16	CSNK1G1	gene
1	E17	MAP3K14	gene
1	E18	RIOK1	gene
1	E19	MAP3K7	gene
1	E20	AKT	gene
1	E21	CKB	gene
1	E22	SNRK	gene
1	E23	sicon 1	control
1	E24	empty	empty
1	F01	empty	empty
1	F02	sicon 1	control
1	F03	CSNK1E	gene
1	F04	CAMK1	gene
1	F05	RELA	gene
1	F06	MARK3	gene
1	F07	CCRK	gene
1	F08	MGC42105	gene
1	F09	MAPK9	gene
1	F10	CHEK1	gene
1	F11	TNK2	gene
1	F12	SCAP1	gene
1	F13	PDIK1L	gene
1	F14	CDC2L2	gene
1	F15	AXL	gene
1	F16	STK3	gene
1	F17	ANKRD3	gene
1	F18	FLT4	gene
1	F19	RIPK1	gene
1	F20	CDC2L1	gene
1	F21	CDC42BPB	gene
1	F22	MAP2K7	gene
1	F23	sicon 1	control
1	F24	empty	empty
1	G01	empty	empty
1	G02	sicon 1	control
1	G03	CDC2	gene
1	G04	KIAA1811	gene
1	G05	PIM2	gene
1	G06	PDK2	gene
1	G07	LRRK2	gene
1	G08	MYLK2	gene
1	G09	HK2	gene
1	G10	NEK11	gene
1	G11	FN3K	gene
1	G12	KIAA1361	gene
1	G13	CRIM1	gene
1	G14	SNF1LK	gene
1	G15	PIK4CA	gene
1	G16	PTK9	gene
1	G17	SSTK	gene
1	G18	LATS1	gene
1	G19	TAO1	gene
1	G20	PFKP	gene
1	G21	NME3	gene
1	G22	PRKG1	gene
1	G23	sicon 1	control
1	G24	empty	empty
1	H01	empty	empty
1	H02	sicon 1	control
1	H03	JAK3	gene
1	H04	EPHB6	gene
1	H05	STK22D	gene
1	H06	MARK1	gene
1	H07	FGFR1	gene
1	H08	PRKAR2A	gene
1	H09	PNKP	gene
1	H10	PINK1	gene
1	H11	ERBB2	gene
1	H12	MUSK	gene
1	H13	PRKAG1	gene
1	H14	ULK2	gene
1	H15	FLJ10761	gene
1	H16	MGC8407	gene
1	H17	IGF1R	gene
1	H18	AURKA	gene
1	H19	NEK9	gene
1	H20	PAK4	gene
1	H21	FLJ23356	gene
1	H22	MAPK1	gene
1	H23	sicon 1	control
1	H24	empty	empty
1	I01	empty	empty
1	I02	sicon 2	control
1	I03	PRKAG3	gene
1	I04	RIOK2	gene
1	I05	GRK5	gene
1	I06	FRAP1	gene
1	I07	LIMK1	gene
1	I08	PDGFRL	gene
1	I09	UMPK	gene
1	I10	AK7	gene
1	I11	C7ORF2	gene
1	I12	EPHA10	gene
1	I13	KSR	gene
1	I14	STK17B	gene
1	I15	MAP4K4	gene
1	I16	NPR2	gene
1	I17	PRKCN	gene
1	I18	GOLGA5	gene
1	I19	TTBK1	gene
1	I20	STK24	gene
1	I21	ROCK1	gene
1	I22	DGKB	gene
1	I23	sicon 2	control
1	I24	empty	empty
1	J01	empty	empty
1	J02	sicon 2	control
1	J03	FLT3	gene
1	J04	MAST4	gene
1	J05	PIP5K2A	gene
1	J06	CKMT2	gene
1	J07	DAPK1	gene
1	J08	PIK3R3	gene
1	J09	FASTK	gene
1	J10	ACVR2	gene
1	J11	PRKG2	gene
1	J12	PRKWNK3	gene
1	J13	MPP1	gene
1	J14	PRKCZ	gene
1	J15	HSPB8	gene
1	J16	ITK	gene
1	J17	CSF1R	gene
1	J18	CAMKK1	gene
1	J19	DYRK2	gene
1	J20	STK36	gene
1	J21	PRKCL2	gene
1	J22	MAPK8	gene
1	J23	sicon 2	control
1	J24	empty	empty
1	K01	empty	empty
1	K02	sicon 2	control
1	K03	TEK	gene
1	K04	STK25	gene
1	K05	PANK1	gene
1	K06	CDC7	gene
1	K07	CSNK1G3	gene
1	K08	CAMK2G	gene
1	K09	CKS2	gene
1	K10	URKL1	gene
1	K11	PHKG2	gene
1	K12	MAP3K9	gene
1	K13	MAPK7	gene
1	K14	GUCY2D	gene
1	K15	KCNH8	gene
1	K16	CAMKK2	gene
1	K17	CAMK2D	gene
1	K18	KIAA1639	gene
1	K19	MAP4K5	gene
1	K20	CAMKIINALPHA	gene
1	K21	PKN3	gene
1	K22	KIT	gene
1	K23	sicon 2	control
1	K24	empty	empty
1	L01	empty	empty
1	L02	sicon 2	control
1	L03	RPS6KA3	gene
1	L04	TGFBR1	gene
1	L05	EFNA4	gene
