Plate	Well	GeneID	Entrez_gene_ID	sub_lib
1	A01	MOCK		
1	A02	TTK	7272	KIN
1	A03	SYK	6850	KIN
1	A04	EPHA8	2046	KIN
1	A05	DMPK	1760	KIN
1	A06	COASY	80347	KIN
1	A07	MYO3B	140469	KIN
1	A08	PRKWNK2	65268	KIN
1	A09	PTK2	5747	KIN
1	A10	FER	2241	KIN
1	A11	CAMK2B	816	KIN
1	A12	allSTAR		
1	B01	siCON1		
1	B02	ACVRL1	94	KIN
1	B03	LYN	4067	KIN
1	B04	PAPSS1	9061	KIN
1	B05	MAPK4	5596	KIN
1	B06	MASTL	84930	KIN
1	B07	TRIB1	10221	KIN
1	B08	BRD3	8019	KIN
1	B09	FLJ34389	197259	KIN
1	B10	HK1	3098	KIN
1	B11	THNSL1	79896	KIN
1	B12	PLK1	5347	KIN
1	C01	siCON2		
1	C02	ALS2CR2	55437	KIN
1	C03	CARKL	23729	KIN
1	C04	ADK	132	KIN
1	C05	ABL2	27	KIN
1	C06	PLK1	5347	KIN
1	C07	MINK	50488	KIN
1	C08	CDKL3	51265	KIN
1	C09	MAP3K14	9020	KIN
1	C10	MAP3K7	6885	KIN
1	C11	CKB	1152	KIN
1	C12	MOCK		
1	D01	allSTAR		
1	D02	CDC2	983	KIN
1	D03	PIM2	11040	KIN
1	D04	LRRK2	120892	KIN
1	D05	HK2	3099	KIN
1	D06	FN3K	64122	KIN
1	D07	CRIM1	51232	KIN
1	D08	PIK4CA	5297	KIN
1	D09	SSTK	83983	KIN
1	D10	TAO1	9344	KIN
1	D11	NME3	4832	KIN
1	D12	siCON1		
1	E01	PLK1	5347	KIN
1	E02	PRKAG3	53632	KIN
1	E03	GRK5	2869	KIN
1	E04	LIMK1	3984	KIN
1	E05	UMPK	7371	KIN
1	E06	C7ORF2	64327	KIN
1	E07	KSR	8844	KIN
1	E08	MAP4K4	9448	KIN
1	E09	PRKCN	23683	KIN
1	E10	TTBK1	84630	KIN
1	E11	ROCK1	6093	KIN
1	E12	siCON2		
1	F01	TNKS		KIN
1	F02	TEK	7010	KIN
1	F03	PANK1	53354	KIN
1	F04	CSNK1G3	1456	KIN
1	F05	CKS2	1164	KIN
1	F06	PHKG2	5261	KIN
1	F07	MAPK7	5598	KIN
1	F08	KCNH8	131096	KIN
1	F09	CAMK2D	817	KIN
1	F10	MAP4K5	11183	KIN
1	F11	PKN3	29941	KIN
1	F12	allSTAR		
1	G01	siCON1		
1	G02	ATM	472	KIN
1	G03	PHKA2	5256	KIN
1	G04	MULK	55750	KIN
1	G05	GRK6	2870	KIN
1	G06	BMPR1B	658	KIN
1	G07	STK33	65975	KIN
1	G08	MIDORI	57538	KIN
1	G09	RNASEL	6041	KIN
1	G10	STK16	8576	KIN
1	G11	GRK1	6011	KIN
1	G12	PLK1	5347	KIN
1	H01	siCON2		
1	H02	RFP	5987	KIN
1	H03	PIP5KL1	138429	KIN
1	H04	NEK5	341676	KIN
1	H05	PLK2	10769	KIN
1	H06	CSNK1G2	1455	KIN
1	H07	MARK2	2011	KIN
1	H08	TNIK	23043	KIN
1	H09	CALM3	808	KIN
1	H10	PKM2	5315	KIN
1	H11	CDKL5	6792	KIN
1	H12	MOCK		
2	A01	MOCK		
2	A02	PIK3CA	5290	KIN
2	A03	KIAA1804	84451	KIN
2	A04	NAGK	55577	KIN
2	A05	IRAK1	3654	KIN
2	A06	EEF2K	29904	KIN
2	A07	ANKK1	255239	KIN
2	A08	MAP3K5	4217	KIN
2	A09	PRKAA1	5562	KIN
2	A10	RPS6KA4	8986	KIN
2	A11	CALM1	801	KIN
2	A12	allSTAR		
2	B01	siCON1		
2	B02	FLJ32685	152110	KIN
2	B03	ITPKC	80271	KIN
2	B04	EPHA5	2044	KIN
2	B05	MLCK	91807	KIN
2	B06	PSKH1	5681	KIN
2	B07	AURKC	6795	KIN
2	B08	PRKCE	5581	KIN
2	B09	AK1	203	KIN
2	B10	TRPM6	140803	KIN
2	B11	CLK1	1195	KIN
2	B12	PLK1	5347	KIN
2	C01	siCON2		
2	C02	PAPSS2	9060	KIN
2	C03	RPS6KB2	6199	KIN
2	C04	PFTK1	5218	KIN
2	C05	NME5	8382	KIN
2	C06	SRC	6714	KIN
2	C07	NEK4	6787	KIN
2	C08	CSNK1G1	53944	KIN
2	C09	RIOK1	83732	KIN
2	C10	AKT1	207	KIN
2	C11	SNRK	54861	KIN
2	C12	MOCK		
2	D01	allSTAR		
2	D02	KIAA1811	84446	KIN
2	D03	PDK2	5164	KIN
2	D04	MYLK2	85366	KIN
2	D05	NEK11	79858	KIN
2	D06	KIAA1361	57551	KIN
2	D07	SNF1LK	150094	KIN
2	D08	PTK9	5756	KIN
2	D09	LATS1	9113	KIN
2	D10	PFKP	5214	KIN
2	D11	PRKG1	5592	KIN
2	D12	siCON1		
2	E01	PLK1	5347	KIN
2	E02	RIOK2	55781	KIN
2	E03	FRAP1	2475	KIN
2	E04	PDGFRL	5157	KIN
2	E05	AK7	122481	KIN
2	E06	EPHA10	284656	KIN
2	E07	STK17B	9262	KIN
2	E08	NPR2	4882	KIN
2	E09	GOLGA5	9950	KIN
2	E10	STK24	8428	KIN
2	E11	DGKB	1607	KIN
2	E12	siCON2		
2	F01	TNKS		
2	F02	STK25	10494	KIN
2	F03	CDC7	8317	KIN
2	F04	CAMK2G	818	KIN
2	F05	URKL1	54963	KIN
2	F06	MAP3K9	4293	KIN
2	F07	GUCY2D	3000	KIN
2	F08	CAMKK2	10645	KIN
2	F09	KIAA1639	57729	KIN
2	F10	CAMKIINALPHA	55450	KIN
2	F11	KIT	3815	KIN
2	F12	allSTAR		
2	G01	siCON1		
2	G02	PRKCL1	5585	KIN
2	G03	RIPK2	8767	KIN
2	G04	CKMT1B	1159	KIN
