Plate	Well	GeneID	Entrez_gene_ID	sub_lib	Condition_ID
1	A01	MOCK			40998249
1	A02	TTK	7272	KIN	40998250
1	A03	SYK	6850	KIN	40998251
1	A04	EPHA8	2046	KIN	40998252
1	A05	DMPK	1760	KIN	40998253
1	A06	COASY	80347	KIN	40998254
1	A07	MYO3B	140469	KIN	40998255
1	A08	PRKWNK2	65268	KIN	40998256
1	A09	PTK2	5747	KIN	40998257
1	A10	FER	2241	KIN	40998258
1	A11	CAMK2B	816	KIN	40998259
1	A12	allSTAR			40998260
1	B01	siCON1			40998261
1	B02	ACVRL1	94	KIN	40998262
1	B03	LYN	4067	KIN	40998263
1	B04	PAPSS1	9061	KIN	40998264
1	B05	MAPK4	5596	KIN	40998265
1	B06	MASTL	84930	KIN	40998266
1	B07	TRIB1	10221	KIN	40998267
1	B08	BRD3	8019	KIN	40998268
1	B09	FLJ34389	197259	KIN	40998269
1	B10	HK1	3098	KIN	40998270
1	B11	THNSL1	79896	KIN	40998271
1	B12	PLK1	5347	KIN	40998272
1	C01	siCON2			40998273
1	C02	ALS2CR2	55437	KIN	40998274
1	C03	CARKL	23729	KIN	40998275
1	C04	ADK	132	KIN	40998276
1	C05	ABL2	27	KIN	40998277
1	C06	PLK1	5347	KIN	40998278
1	C07	MINK	50488	KIN	40998279
1	C08	CDKL3	51265	KIN	40998280
1	C09	MAP3K14	9020	KIN	40998281
1	C10	MAP3K7	6885	KIN	40998282
1	C11	CKB	1152	KIN	40998283
1	C12	MOCK			40998284
1	D01	allSTAR			40998285
1	D02	CDC2	983	KIN	40998286
1	D03	PIM2	11040	KIN	40998287
1	D04	LRRK2	120892	KIN	40998288
1	D05	HK2	3099	KIN	40998289
1	D06	FN3K	64122	KIN	40998290
1	D07	CRIM1	51232	KIN	40998291
1	D08	PIK4CA	5297	KIN	40998292
1	D09	SSTK	83983	KIN	40998293
1	D10	TAO1	9344	KIN	40998294
1	D11	NME3	4832	KIN	40998295
1	D12	siCON1			40998296
1	E01	PLK1	5347	KIN	40998297
1	E02	PRKAG3	53632	KIN	40998298
1	E03	GRK5	2869	KIN	40998299
1	E04	LIMK1	3984	KIN	40998300
1	E05	UMPK	7371	KIN	40998301
1	E06	C7ORF2	64327	KIN	40998302
1	E07	KSR	8844	KIN	40998303
