Plate	Well	GeneID	EntrezGene_ID	sublib
1	A01			
1	A02			
1	A03	BCL2L11	10018	MET
1	A04	ATP5G1	516	MET
1	A05	ATP5J2	9551	MET
1	A06	ATP5G2	517	MET
1	A07	SLC25A34	284723	MET
1	A08	ATP5G3	518	MET
1	A09	SLC16A3	9123	MET
1	A10	ATP5I	521	MET
1	A11	ABAT	18	MET
1	A12	ATP5J	522	MET
1	A13	ABL1	25	MET
1	A14	ATP5O	539	MET
1	A15	ACAA1	30	MET
1	A16	AUH	549	MET
1	A17	ACACA	31	MET
1	A18	BCAT1	586	MET
1	A19	ACACB	32	MET
1	A20	BCAT2	587	MET
1	A21	ACADL	33	MET
1	A22	BCKDHA	593	MET
1	A23			
1	A24			
1	B01			
1	B02			
1	B03	EIF4E	1977	MET
1	B04	HDC	3067	MET
1	B05	EIF4EBP1	1978	MET
1	B06	HEXA	3073	MET
1	B07	EIF4G1	1981	MET
1	B08	HEXB	3074	MET
1	B09	EIF4G2	1982	MET
1	B10	HIF1A	3091	MET
1	B11	ELF3	1999	MET
1	B12	HK1	3098	MET
1	B13	ELF4	2000	MET
1	B14	HK2	3099	MET
1	B15	ELK1	2002	MET
1	B16	HK3	3101	MET
1	B17	ENO1	2023	MET
1	B18	HLCS	3141	MET
1	B19	ENO2	2026	MET
1	B20	HNF4A	3172	MET
1	B21	ENO3	2027	MET
1	B22	HNMT	3176	MET
1	B23			
1	B24			
1	C01			
1	C02			
1	C03	ACADM	34	MET
1	C04	BCKDHB	594	MET
1	C05	ACADS	35	MET
1	C06	BCR	613	MET
1	C07	ACADSB	36	MET
1	C08	BHMT	635	MET
1	C09	ACADVL	37	MET
1	C10	BPGM	669	MET
1	C11	ACLY	47	MET
1	C12	BRAF	673	MET
1	C13	ACO1	48	MET
1	C14	CA9	768	MET
1	C15	ACO2	50	MET
1	C16	CA12	771	MET
1	C17	ADCY1	107	MET
1	C18	SLC25A20	788	MET
1	C19	ADCY3	109	MET
1	C20	CAD	790	MET
1	C21	ADCY5	111	MET
1	C22	CALM1	801	MET
1	C23			
1	C24			
1	D01			
1	D02			
1	D03	SLC29A1	2030	MET
1	D04	HOXA1	3198	MET
1	D05	EPHA3	2042	MET
1	D06	HPRT1	3251	MET
1	D07	ERBB2	2064	MET
1	D08	HRAS	3265	MET
1	D09	ERN1	2081	MET
1	D10	HSPCA	3320	MET
1	D11	ETFA	2108	MET
1	D12	IDH1	3417	MET
1	D13	ETFB	2109	MET
1	D14	IDH2	3418	MET
1	D15	FAH	2184	MET
1	D16	IDH3A	3419	MET
1	D17	FASN	2194	MET
1	D18	IDH3B	3420	MET
1	F08	IMPA1	3612	MET
1	D20	IDH3G	3421	MET
1	D21	FDX1	2230	MET
1	D22	IFNA1	3439	MET
1	D23			
1	D24			
1	E01			
1	E02			
1	E03	ADCY6	112	MET
1	E04	CALM2	805	MET
1	E05	ADCY7	113	MET
1	E06	CALM3	808	MET
1	E07	ADCY8	114	MET
1	E08	CALML3	810	MET
1	E09	ADCY9	115	MET
1	E10	CASP3	836	MET
1	E11	ADCYAP1	116	MET
1	E12	CBS	875	MET
1	E13	ADCYAP1R1	117	MET
1	E14	CD4	920	MET
1	E15	ADD1	118	MET
1	E16	CD33	945	MET
1	E17	ADD2	119	MET
1	E18	TNFRSF5	958	MET
1	E19	ADD3	120	MET
1	E20	TNFSF5	959	MET
1	E21	ADH1A	124	MET
1	E22	CD81	975	MET
1	E23			
1	E24			
1	F01			
1	F02			
1	F03	FDXR	2232	MET
1	F04	IFNG	3458	MET
1	F05	FH	2271	MET
1	F06	IKBKB	3551	MET
1	F07	FLOT2	2319	MET
2	H03	MTMR6	9107	MET
1	F09	FLT3	2322	MET
1	F10	IMPDH1	3614	MET
1	F11	FPR1	2357	MET
1	F12	IMPDH2	3615	MET
