Plate	Well	Gene_symbol	Entrez_gene_ID	Sub_lib	PreCursor
1	A01				
1	A02				
1	A03	TTK	7272	KIN	NM_003318
1	A04	PIK3CA	5290	KIN	NM_006218
1	A05	SYK	6850	KIN	NM_003177
1	A06	KIAA1804	84451	KIN	NM_032435
1	A07	EPHA8	2046	KIN	NM_001006943
1	A08	GK	55577	KIN	NM_017567
1	A09	DMPK	1760	KIN	NM_001081562
1	A10	IRAK1	3654	KIN	NM_001569
1	A11	COASY	80347	KIN	NM_025233
1	A12	EEF2K	29904	KIN	NM_013302
1	A13	MYO3B	140469	KIN	NM_001083615
1	A14	ANKK1	255239	KIN	NM_178510
1	A15	PRKWNK2	65268	KIN	NM_006648
1	A16	MAP3K5	4217	KIN	NM_005923
1	A17	PTK2	5747	KIN	NM_005607
1	A18	PRKAA1	5562	KIN	NM_006251
1	A19	FER	2241	KIN	NM_005246
1	A20	RPS6KA4	8986	KIN	NM_001006944
1	A21	CAMK2B	816	KIN	NM_172084
1	A22	CALM1	801	KIN	NM_006888
1	A23				
1	A24				
1	B01				
1	B02				
1	B03	MAP3K2	10746	KIN	NM_006609
1	B04	STK31	56164	KIN	NM_031414
1	B05	LATS2	26524	KIN	NM_014572
1	B06	AKT3	10000	KIN	NM_005465
1	B07	P101-PI3K	23533	KIN	NM_014308
1	B08	NLK	51701	KIN	NM_016231
1	B09	DGKG	1608	KIN	NM_001080745
1	B10	PFKFB3	5209	KIN	NM_004566
1	B11	MAST3	23031	KIN	NM_015016
1	B12	TESK2	10420	KIN	NM_007170
1	B13	EF3	1944	KIN	NM_004952
1	B14	EPHA7	2045	KIN	NM_004440
1	B15	BCKDK	10295	KIN	NM_005881
1	B16	STK35	140901	KIN	NM_080836
1	B17	ITPKA	3706	KIN	NM_002220
1	B18	STK11	6794	KIN	NM_000455
1	B19	NEK6	10783	KIN	NM_014397
1	B20	JAK2	3717	KIN	NM_004972
1	B21	BLK	640	KIN	NM_001715
1	B22	BRD2	6046	KIN	NM_001113182
1	B23				
1	B24				
1	C01				
1	C02				
1	C03	ACVRL1	94	KIN	NM_001077401
1	C04	FLJ32685	152110	KIN	NM_152534
1	C05	LYN	4067	KIN	NM_001111097
1	C06	ITPKC	80271	KIN	NM_025194
1	C07	PAPSS1	9061	KIN	NM_005443
1	C08	EPHA5	2044	KIN	NM_182472
1	C09	MAPK4	5596	KIN	NM_002747
1	C10	MLCK	91807	KIN	NM_182493
1	C11	MASTL	84930	KIN	NM_032844
1	C12	PSKH1	5681	KIN	NM_006742
1	C13	TRIB1	10221	KIN	NM_025195
1	C14	AURKC	6795	KIN	NM_001015879
1	C15	BRD3	8019	KIN	NM_007371
1	C16	PRKCE	5581	KIN	NM_005400
1	C17	FLJ34389	197259	KIN	NM_152649
1	C18	AK1	203	KIN	NM_000476
1	C19	HK1	3098	KIN	NM_000188
1	C20	TRPM6	140803	KIN	NM_017662
1	C21	THNSL1	79896	KIN	NM_024838
1	C22	CLK1	1195	KIN	NM_004071
1	C23				
1	C24				
1	D01				
1	D02				
1	D03	DGKK	139189	KIN	NM_001013742
1	D04	CDKN2C	1031	KIN	NM_001262
1	D05	MPP2	4355	KIN	NM_005374
1	D06	MAP2K3	5606	KIN	NM_002756
1	D07	BUB1	699	KIN	NM_004336
1	D08	LCK	3932	KIN	NM_001042771
1	D09	UHMK1	127933	KIN	NM_175866
1	D10	CIB2	10518	KIN	NM_006383
1	D11	PRKCM	5587	KIN	NM_002742
1	D12	AAK1	22848	KIN	NM_014911
1	D13	PIK4CB	5298	KIN	NM_002651
1	D14	PIK3R2	5296	KIN	NM_005027
1	D15	DLG4	1742	KIN	NM_001365
1	D16	IRAK2	3656	KIN	NM_001570
1	D17	BTK	695	KIN	NM_000061
1	D18	ACVR1C	130399	KIN	NM_001111033
1	D19	MAP3K15	389840	KIN	NM_001001671
1	D20	ACVR1B	91	KIN	NM_004302
1	D21	GSK3A	2931	KIN	NM_019884
1	D22	CPNE3	8895	KIN	NM_003909
1	D23				
1	D24				
