Plate	Well	GeneID	PreCursor
1	A01	NA	NA
1	A02	NA	NA
1	A03	TTK	NM_003318
1	A04	PIK3CA	NM_006218
1	A05	SYK	NM_003177
1	A06	KIAA1804	NM_032435
1	A07	EPHA8	NM_001006943
1	A08	NAGK	NM_017567
1	A09	DMPK	NM_001081562
1	A10	IRAK1	NM_001569
1	A11	COASY	NM_025233
1	A12	EEF2K	NM_013302
1	A13	MYO3B	NM_001083615
1	A14	ANKK1	NM_178510
1	A15	PRKWNK2	NM_006648
1	A16	MAP3K5	NM_005923
1	A17	PTK2	NM_005607
1	A18	PRKAA1	NM_006251
1	A19	FER	NM_005246
1	A20	RPS6KA4	NM_001006944
1	A21	CAMK2B	NM_172084
1	A22	CALM1	NM_006888
1	A23	NA	NA
1	A24	NA	NA
1	B01	NA	NA
1	B02	NA	NA
1	B03	MAP3K2	NM_006609
1	B04	STK31	NM_031414
1	B05	LATS2	NM_014572
1	B06	AKT3	NM_005465
1	B07	P101-PI3K	NM_014308
1	B08	NLK	NM_016231
1	B09	DGKG	NM_001080745
1	B10	PFKFB3	NM_004566
1	B11	MAST3	NM_015016
1	B12	TESK2	NM_007170
1	B13	EFNA3	NM_004952
1	B14	EPHA7	NM_004440
1	B15	BCKDK	NM_005881
1	B16	STK35	NM_080836
1	B17	ITPKA	NM_002220
1	B18	STK11	NM_000455
1	B19	NEK6	NM_014397
1	B20	JAK2	NM_004972
1	B21	BLK	NM_001715
1	B22	BRD2	NM_001113182
1	B23	NA	NA
1	B24	NA	NA
1	C01	NA	NA
1	C02	NA	NA
1	C03	ACVRL1	NM_001077401
1	C04	FLJ32685	NM_152534
1	C05	LYN	NM_001111097
1	C06	ITPKC	NM_025194
1	C07	PAPSS1	NM_005443
1	C08	EPHA5	NM_182472
1	C09	MAPK4	NM_002747
1	C10	MLCK	NM_182493
1	C11	MASTL	NM_032844
1	C12	PSKH1	NM_006742
1	C13	TRIB1	NM_025195
1	C14	AURKC	NM_001015879
1	C15	BRD3	NM_007371
1	C16	PRKCE	NM_005400
1	C17	FLJ34389	NM_152649
1	C18	AK1	NM_000476
1	C19	HK1	NM_000188
1	C20	TRPM6	NM_017662
1	C21	THNSL1	NM_024838
1	C22	CLK1	NM_004071
1	C23	NA	NA
1	C24	NA	NA
1	D01	NA	NA
1	D02	NA	NA
1	D03	DGKK	NM_001013742
1	D04	CDKN2C	NM_001262
1	D05	MPP2	NM_005374
1	D06	MAP2K3	NM_002756
1	D07	BUB1	NM_004336
1	D08	LCK	NM_001042771
