Plate	Well	GeneID	Conf
1	D12	AAK1	sample
2	F09	AATK	sample
5	A11	ABAT	sample
1	N19	ABL1	sample
5	A13	ABL1	sample
1	E09	ABL2	sample
5	A15	ACAA1	sample
6	L07	ACAA2	sample
5	A17	ACACA	sample
5	A19	ACACB	sample
6	H04	ACAD9	sample
5	A21	ACADL	sample
5	C03	ACADM	sample
5	C05	ACADS	sample
5	C07	ACADSB	sample
5	C09	ACADVL	sample
5	C11	ACLY	sample
5	C13	ACO1	sample
5	C15	ACO2	sample
6	O16	ACOX2	sample
4	F19	ACP1	sample
4	K15	ACP2	sample
4	G08	ACP5	sample
4	A04	ACP6	sample
4	M06	ACPP	sample
4	J03	ACPT	sample
1	P04	ACVR1	sample
1	D20	ACVR1B	sample
1	D18	ACVR1C	sample
1	J10	ACVR2	sample
2	C11	ACVR2B	sample
1	C03	ACVRL1	sample
7	I07	ACY-3	sample
1	L07	ADCK1	sample
2	I03	ADCK2	sample
2	C05	ADCK4	sample
2	A12	ADCK5	sample
5	C17	ADCY1	sample
5	C19	ADCY3	sample
7	O07	ADCY4	sample
5	C21	ADCY5	sample
5	E03	ADCY6	sample
5	E05	ADCY7	sample
5	E07	ADCY8	sample
5	E09	ADCY9	sample
5	E11	ADCYAP1	sample
5	E13	ADCYAP1R1	sample
5	E15	ADD1	sample
5	E17	ADD2	sample
5	E19	ADD3	sample
5	E21	ADH1A	sample
1	E07	ADK	sample
1	O10	ADP-GK	sample
7	E07	ADPN	sample
2	I20	ADRBK1	sample
2	G19	ADRBK2	sample
5	G03	ADSL	sample
5	G05	ADSS	sample
7	C19	AGMAT	sample
7	C03	AGXT2	sample
7	A21	AGXT2L1	sample
1	N17	AIP1	sample
1	C18	AK1	sample
5	G07	AK1	sample
3	M21	AK2	sample
5	G09	AK2	sample
2	E13	AK3	sample
5	G11	AK3	sample
3	E21	AK3L1	sample
6	H18	AK3L1	sample
2	K22	AK5	sample
6	F06	AK5	sample
1	I10	AK7	sample
7	K19	AK7	sample
6	P11	AKAP10	sample
1	E20	AKT1	sample
5	G13	AKT1	sample
1	P05	AKT2	sample
5	G15	AKT2	sample
1	B06	AKT3	sample
6	J09	AKT3	sample
5	G17	ALDH1A1	sample
