Plate	Well	Condition_ID	GeneID
1	A01	40998249	MOCK
1	A02	40998250	TTK
1	A03	40998251	SYK
1	A04	40998252	EPHA8
1	A05	40998253	DMPK
1	A06	40998254	COASY
1	A07	40998255	MYO3B
1	A08	40998256	PRKWNK2
1	A09	40998257	PTK2
1	A10	40998258	FER
1	A11	40998259	CAMK2B
1	A12	40998260	allSTAR
1	B01	40998261	siCON1
1	B02	40998262	ACVRL1
1	B03	40998263	LYN
1	B04	40998264	PAPSS1
1	B05	40998265	MAPK4
1	B06	40998266	MASTL
1	B07	40998267	TRIB1
1	B08	40998268	BRD3
1	B09	40998269	FLJ34389
1	B10	40998270	HK1
1	B11	40998271	THNSL1
1	B12	40998272	PLK1
1	C01	40998273	siCON2
1	C02	40998274	ALS2CR2
1	C03	40998275	CARKL
1	C04	40998276	ADK
1	C05	40998277	ABL2
1	C06	40998278	PLK1
1	C07	40998279	MINK
1	C08	40998280	CDKL3
1	C09	40998281	MAP3K14
1	C10	40998282	MAP3K7
1	C11	40998283	CKB
1	C12	40998284	MOCK
1	D01	40998285	allSTAR
1	D02	40998286	CDC2
1	D03	40998287	PIM2
1	D04	40998288	LRRK2
1	D05	40998289	HK2
1	D06	40998290	FN3K
1	D07	40998291	CRIM1
1	D08	40998292	PIK4CA
1	D09	40998293	SSTK
1	D10	40998294	TAO1
1	D11	40998295	NME3
1	D12	40998296	siCON1
1	E01	40998297	PLK1
1	E02	40998298	PRKAG3
1	E03	40998299	GRK5
1	E04	40998300	LIMK1
1	E05	40998301	UMPK
1	E06	40998302	C7ORF2
1	E07	40998303	KSR
1	E08	40998304	MAP4K4
1	E09	40998305	PRKCN
1	E10	40998306	TTBK1
1	E11	40998307	ROCK1
1	E12	40998308	siCON2
1	F01	40998309	TNKS
1	F02	40998310	TEK
1	F03	40998311	PANK1
1	F04	40998312	CSNK1G3
1	F05	40998313	CKS2
1	F06	40998314	PHKG2
1	F07	40998315	MAPK7
1	F08	40998316	KCNH8
1	F09	40998317	CAMK2D
1	F10	40998318	MAP4K5
1	F11	40998319	PKN3
1	F12	40998320	allSTAR
1	G01	40998321	siCON1
1	G02	40998322	ATM
1	G03	40998323	PHKA2
1	G04	40998324	MULK
1	G05	40998325	GRK6
1	G06	40998326	BMPR1B
1	G07	40998327	STK33
1	G08	40998328	MIDORI
1	G09	40998329	RNASEL
1	G10	40998330	STK16
1	G11	40998331	GRK1
1	G12	40998332	PLK1
1	H01	40998333	siCON2
1	H02	40998334	RFP
1	H03	40998335	PIP5KL1
1	H04	40998336	NEK5
1	H05	40998337	PLK2
1	H06	40998338	CSNK1G2
1	H07	40998339	MARK2
1	H08	40998340	TNIK
1	H09	40998341	CALM3
1	H10	40998342	PKM2
1	H11	40998343	CDKL5
1	H12	40998344	MOCK
2	A01	40998345	MOCK
2	A02	40998346	PIK3CA
2	A03	40998347	KIAA1804
2	A04	40998348	NAGK
2	A05	40998349	IRAK1
2	A06	40998350	EEF2K
2	A07	40998351	ANKK1
2	A08	40998352	MAP3K5
2	A09	40998353	PRKAA1
2	A10	40998354	RPS6KA4
2	A11	40998355	CALM1
2	A12	40998356	allSTAR
2	B01	40998357	siCON1
2	B02	40998358	FLJ32685
2	B03	40998359	ITPKC
2	B04	40998360	EPHA5
2	B05	40998361	MLCK
2	B06	40998362	PSKH1
2	B07	40998363	AURKC
2	B08	40998364	PRKCE
2	B09	40998365	AK1
2	B10	40998366	TRPM6
2	B11	40998367	CLK1
2	B12	40998368	PLK1
2	C01	40998369	siCON2
2	C02	40998370	PAPSS2
2	C03	40998371	RPS6KB2
2	C04	40998372	PFTK1
2	C05	40998373	NME5
2	C06	40998374	SRC
2	C07	40998375	NEK4
2	C08	40998376	CSNK1G1
2	C09	40998377	RIOK1
2	C10	40998378	AKT1
2	C11	40998379	SNRK
2	C12	40998380	MOCK
2	D01	40998381	allSTAR
2	D02	40998382	KIAA1811
2	D03	40998383	PDK2
2	D04	40998384	MYLK2
2	D05	40998385	NEK11
2	D06	40998386	KIAA1361
2	D07	40998387	SNF1LK
2	D08	40998388	PTK9
2	D09	40998389	LATS1
2	D10	40998390	PFKP
2	D11	40998391	PRKG1
2	D12	40998392	siCON1
2	E01	40998393	PLK1
2	E02	40998394	RIOK2
2	E03	40998395	FRAP1
2	E04	40998396	PDGFRL
2	E05	40998397	AK7
2	E06	40998398	EPHA10
2	E07	40998399	STK17B
2	E08	40998400	NPR2
2	E09	40998401	GOLGA5
2	E10	40998402	STK24
2	E11	40998403	DGKB
2	E12	40998404	siCON2
2	F01	40998405	TNKS
2	F02	40998406	STK25
2	F03	40998407	CDC7
2	F04	40998408	CAMK2G
2	F05	40998409	URKL1
2	F06	40998410	MAP3K9
2	F07	40998411	GUCY2D
2	F08	40998412	CAMKK2
2	F09	40998413	KIAA1639
2	F10	40998414	CAMKIINALPHA
2	F11	40998415	KIT
2	F12	40998416	allSTAR
2	G01	40998417	siCON1
2	G02	40998418	PRKCL1
2	G03	40998419	RIPK2
2	G04	40998420	CKMT1B
2	G05	40998421	MKNK2
2	G06	40998422	TNNI3K
2	G07	40998423	ALS2CR7
2	G08	40998424	HCK
2	G09	40998425	CKS1B
2	G10	40998426	BMP2K
2	G11	40998427	PHKB
2	G12	40998428	PLK1
2	H01	40998429	siCON2
2	H02	40998430	TRIO
2	H03	40998431	ETNK1
2	H04	40998432	ERK8
2	H05	40998433	ADP-GK
2	H06	40998434	PIK3CG
2	H07	40998435	FGFR3
2	H08	40998436	IRAK4
2	H09	40998437	PCTK3
2	H10	40998438	SGK2
2	H11	40998439	DYRK4
2	H12	40998440	MOCK
3	A01	40998441	MOCK
3	A02	40998442	MAP3K2
3	A03	40998443	LATS2
3	A04	40998444	P101-PI3K
3	A05	40998445	DGKG
3	A06	40998446	MAST3
3	A07	40998447	EFNA3
3	A08	40998448	BCKDK
3	A09	40998449	ITPKA
3	A10	40998450	NEK6
3	A11	40998451	BLK
3	A12	40998452	allSTAR
3	B01	40998453	siCON1
3	B02	40998454	DGKK
3	B03	40998455	MPP2
3	B04	40998456	BUB1
3	B05	40998457	UHMK1
3	B06	40998458	PRKCM
3	B07	40998459	PIK4CB
3	B08	40998460	DLG4
3	B09	40998461	BTK
3	B10	40998462	MAP3K15
3	B11	40998463	GSK3A
3	B12	40998464	PLK1
3	C01	40998465	siCON2
3	C02	40998466	CSNK1E
3	C03	40998467	RELA
3	C04	40998468	CCRK
3	C05	40998469	MAPK9
3	C06	40998470	TNK2
3	C07	40998471	PDIK1L
3	C08	40998472	AXL
3	C09	40998473	ANKRD3
3	C10	40998474	RIPK1
3	C11	40998475	CDC42BPB
3	C12	40998476	MOCK
3	D01	40998477	allSTAR
3	D02	40998478	JAK3
3	D03	40998479	STK22D
3	D04	40998480	FGFR1
3	D05	40998481	PNKP
3	D06	40998482	ERBB2
3	D07	40998483	PRKAG1
3	D08	40998484	FLJ10761
3	D09	40998485	IGF1R
3	D10	40998486	NEK9
3	D11	40998487	FLJ23356
3	D12	40998488	siCON1
3	E01	40998489	PLK1
3	E02	40998490	FLT3
3	E03	40998491	PIP5K2A
3	E04	40998492	DAPK1
3	E05	40998493	FASTK
3	E06	40998494	PRKG2
3	E07	40998495	MPP1
3	E08	40998496	HSPB8
3	E09	40998497	CSF1R
3	E10	40998498	DYRK2
3	E11	40998499	PRKCL2
3	E12	40998500	siCON2
3	F01	40998501	MOCK
3	F02	40998502	RPS6KA3
3	F03	40998503	EFNA4
3	F04	40998504	ADCK1
3	F05	40998505	MAP3K8
3	F06	40998506	CDK8
3	F07	40998507	MKNK1
3	F08	40998508	PIK3C2G
3	F09	40998509	CDK4
3	F10	40998510	PIM1
3	F11	40998511	DGKQ
3	F12	40998512	allSTAR
3	G01	40998513	siCON1
3	G02	40998514	MAP3K12
3	G03	40998515	STK22C
3	G04	40998516	PI4KII
3	G05	40998517	TAF1L
3	G06	40998518	CAMK1G
3	G07	40998519	HSMDPKIN
3	G08	40998520	STK10
3	G09	40998521	AIP1
3	G10	40998522	ABL1
3	G11	40998523	PAK6
3	G12	40998524	PLK1
3	H01	40998525	siCON2
3	H02	40998526	FN3KRP
3	H03	40998527	AKT2
3	H04	40998528	KIAA0999
3	H05	40998529	PLK4
3	H06	40998530	HIPK3
3	H07	40998531	TYRO3
3	H08	40998532	MAPK3
3	H09	40998533	YES1
3	H10	40998534	NYD-SP25
3	H11	40998535	CDADC1
3	H12	40998536	MOCK
4	A01	40998537	MOCK
4	A02	40998538	STK31
4	A03	40998539	AKT3
4	A04	40998540	NLK
4	A05	40998541	PFKFB3
4	A06	40998542	TESK2
4	A07	40998543	EPHA7
4	A08	40998544	STK35
4	A09	40998545	STK11
4	A10	40998546	JAK2
4	A11	40998547	BRD2
4	A12	40998548	allSTAR
4	B01	40998549	siCON1
4	B02	40998550	CDKN2C
4	B03	40998551	MAP2K3
4	B04	40998552	LCK
4	B05	40998553	CIB2
4	B06	40998554	AAK1
4	B07	40998555	PIK3R2
4	B08	40998556	IRAK2
4	B09	40998557	ACVR1C
4	B10	40998558	ACVR1B
4	B11	40998559	CPNE3
4	B12	40998560	PLK1
4	C01	40998561	siCON2
4	C02	40998562	CAMK1
4	C03	40998563	MARK3
4	C04	40998564	MGC42105
4	C05	40998565	CHEK1
4	C06	40998566	SCAP1
4	C07	40998567	CDC2L2
4	C08	40998568	STK3
4	C09	40998569	FLT4
4	C10	40998570	CDC2L1
4	C11	40998571	MAP2K7
4	C12	40998572	MOCK
4	D01	40998573	allSTAR
4	D02	40998574	EPHB6
4	D03	40998575	MARK1
4	D04	40998576	PRKAR2A
4	D05	40998577	PINK1
4	D06	40998578	MUSK
4	D07	40998579	ULK2
4	D08	40998580	MGC8407
4	D09	40998581	AURKA
4	D10	40998582	PAK4
4	D11	40998583	MAPK1
4	D12	40998584	siCON1
4	E01	40998585	PLK1
4	E02	40998586	MAST4
4	E03	40998587	CKMT2
4	E04	40998588	PIK3R3
4	E05	40998589	ACVR2
4	E06	40998590	PRKWNK3
4	E07	40998591	PRKCZ
4	E08	40998592	ITK
4	E09	40998593	CAMKK1
4	E10	40998594	STK36
4	E11	40998595	MAPK8
4	E12	40998596	siCON2
4	F01	40998597	MOCK
4	F02	40998598	TGFBR1
4	F03	40998599	CDK5R2
4	F04	40998600	LOC91461
4	F05	40998601	DKFZP761P0423
4	F06	40998602	DUSTYPK
4	F07	40998603	FLJ23356
4	F08	40998604	PDK3
4	F09	40998605	DGKA
4	F10	40998606	C9ORF12
4	F11	40998607	PTK6
4	F12	40998608	allSTAR
4	G01	40998609	siCON1
4	G02	40998610	PAK1
4	G03	40998611	RYK
4	G04	40998612	PDXK
4	G05	40998613	NEK8
4	G06	40998614	GK
4	G07	40998615	KSR2
4	G08	40998616	PRKAR1A
4	G09	40998617	NUP62
4	G10	40998618	ROR2
4	G11	40998619	PIP5K2C
4	G12	40998620	PLK1
4	H01	40998621	siCON2
4	H02	40998622	ACVR1
4	H03	40998623	PRKACB
4	H04	40998624	STK39
4	H05	40998625	MATK
4	H06	40998626	RPS6KB1
4	H07	40998627	RFK
4	H08	40998628	TTBK2
4	H09	40998629	CDC42BPA
4	H10	40998630	GSG2
4	H11	40998631	HIPK1
4	H12	40998632	MOCK
5	A01	40998633	MOCK
5	A02	40998634	MAP3K11
5	A03	40998635	AURKB
5	A04	40998636	LIMK2
5	A05	40998637	GRK4
5	A06	40998638	LOC340156
5	A07	40998639	PRKX
5	A08	40998640	GNE
5	A09	40998641	PRKAR1B
5	A10	40998642	MVK
5	A11	40998643	PKIB
5	A12	40998644	allSTAR
5	B01	40998645	siCON1
5	B02	40998646	CDK5
5	B03	40998647	ADCK4
5	B04	40998648	HRI
5	B05	40998649	MAPKAPK3
5	B06	40998650	ACVR2B
5	B07	40998651	EGFR
5	B08	40998652	ROS1
5	B09	40998653	HK3
5	B10	40998654	DDR2
5	B11	40998655	DAPK2
5	B12	40998656	PLK1
5	C01	40998657	siCON2
5	C02	40998658	ITPK1
5	C03	40998659	ILK-2
5	C04	40998660	EPHA2
5	C05	40998661	PHKG1
5	C06	40998662	FUK
5	C07	40998663	AK3
5	C08	40998664	CSNK2A2
5	C09	40998665	VRK2
5	C10	40998666	KALRN
