Plate	Well	Conf	GeneID	Entrez_gene_ID
1	D12	sample	AAK1	22848
2	F09	sample	AATK	9625
5	A11	sample	ABAT	NA
1	N19	sample	ABL1	25
5	A13	sample	ABL1	25
1	E09	sample	ABL2	27
5	A15	sample	ACAA1	NA
6	L07	sample	ACAA2	NA
5	A17	sample	ACACA	NA
5	A19	sample	ACACB	NA
6	H04	sample	ACAD9	NA
5	A21	sample	ACADL	NA
5	C03	sample	ACADM	NA
5	C05	sample	ACADS	NA
5	C07	sample	ACADSB	NA
5	C09	sample	ACADVL	NA
5	C11	sample	ACLY	NA
5	C13	sample	ACO1	NA
5	C15	sample	ACO2	NA
6	O16	sample	ACOX2	NA
4	F19	sample	ACP1	NA
4	K15	sample	ACP2	NA
4	G08	sample	ACP5	NA
4	A04	sample	ACP6	NA
4	M06	sample	ACPP	NA
4	J03	sample	ACPT	NA
1	P04	sample	ACVR1	90
1	D20	sample	ACVR1B	91
1	D18	sample	ACVR1C	130399
1	J10	sample	ACVR2	92
2	C11	sample	ACVR2B	93
1	C03	sample	ACVRL1	94
7	I07	sample	ACY-3	NA
1	L07	sample	ADCK1	57143
2	I03	sample	ADCK2	90956
2	C05	sample	ADCK4	79934
2	A12	sample	ADCK5	203054
5	C17	sample	ADCY1	NA
5	C19	sample	ADCY3	NA
7	O07	sample	ADCY4	NA
5	C21	sample	ADCY5	NA
5	E03	sample	ADCY6	NA
5	E05	sample	ADCY7	NA
5	E07	sample	ADCY8	NA
5	E09	sample	ADCY9	NA
5	E11	sample	ADCYAP1	NA
5	E13	sample	ADCYAP1R1	NA
5	E15	sample	ADD1	NA
5	E17	sample	ADD2	NA
5	E19	sample	ADD3	NA
5	E21	sample	ADH1A	NA
1	E07	sample	ADK	132
1	O10	sample	ADP-GK	83440
7	E07	sample	ADPN	NA
2	I20	sample	ADRBK1	156
2	G19	sample	ADRBK2	157
5	G03	sample	ADSL	NA
5	G05	sample	ADSS	NA
7	C19	sample	AGMAT	NA
7	C03	sample	AGXT2	NA
7	A21	sample	AGXT2L1	NA
1	N17	sample	AIP1	9863
1	C18	sample	AK1	203
5	G07	sample	AK1	203
3	M21	sample	AK2	204
5	G09	sample	AK2	204
2	E13	sample	AK3	205
5	G11	sample	AK3	205
3	E21	sample	AK3L1	50808
6	H18	sample	AK3L1	50808
2	K22	sample	AK5	26289
6	F06	sample	AK5	26289
1	I10	sample	AK7	122481
7	K19	sample	AK7	122481
6	P11	sample	AKAP10	NA
1	E20	sample	AKT1	207
5	G13	sample	AKT1	207
1	P05	sample	AKT2	208
5	G15	sample	AKT2	208
1	B06	sample	AKT3	10000
