Plate	Well	Conf	GeneID	Entrez_gene_ID_ks	Entrez_gene_ID_ts	Entrez_gene_ID_dr	Entrez_gene_ID_met
1	D12	sample	AAK1	22848	NA	NA	NA
2	F09	sample	AATK	9625	NA	NA	NA
5	A11	sample	ABAT	NA	NA	NA	18
1	N19	sample	ABL1	25	NA	NA	25
5	A13	sample	ABL1	25	NA	NA	25
1	E09	sample	ABL2	27	NA	NA	NA
5	A15	sample	ACAA1	NA	NA	NA	30
6	L07	sample	ACAA2	NA	NA	NA	10449
5	A17	sample	ACACA	NA	NA	NA	31
5	A19	sample	ACACB	NA	NA	NA	32
6	H04	sample	ACAD9	NA	NA	NA	28976
5	A21	sample	ACADL	NA	NA	NA	33
5	C03	sample	ACADM	NA	NA	NA	34
5	C05	sample	ACADS	NA	NA	NA	35
5	C07	sample	ACADSB	NA	NA	NA	36
5	C09	sample	ACADVL	NA	NA	NA	37
5	C11	sample	ACLY	NA	NA	NA	47
5	C13	sample	ACO1	NA	NA	NA	48
5	C15	sample	ACO2	NA	NA	NA	50
6	O16	sample	ACOX2	NA	NA	NA	8309
4	F19	sample	ACP1	NA	NA	NA	NA
4	K15	sample	ACP2	NA	NA	NA	NA
4	G08	sample	ACP5	NA	NA	NA	NA
4	A04	sample	ACP6	NA	NA	NA	NA
4	M06	sample	ACPP	NA	NA	NA	NA
4	J03	sample	ACPT	NA	NA	NA	NA
1	P04	sample	ACVR1	90	NA	NA	NA
1	D20	sample	ACVR1B	91	NA	NA	NA
1	D18	sample	ACVR1C	130399	NA	NA	NA
1	J10	sample	ACVR2	92	NA	NA	NA
2	C11	sample	ACVR2B	93	NA	NA	NA
1	C03	sample	ACVRL1	94	NA	NA	NA
7	I07	sample	ACY-3	NA	NA	NA	91703
1	L07	sample	ADCK1	57143	NA	NA	NA
2	I03	sample	ADCK2	90956	NA	NA	NA
2	C05	sample	ADCK4	79934	NA	NA	NA
2	A12	sample	ADCK5	203054	NA	NA	NA
5	C17	sample	ADCY1	NA	NA	NA	107
5	C19	sample	ADCY3	NA	NA	NA	109
7	O07	sample	ADCY4	NA	NA	NA	196883
5	C21	sample	ADCY5	NA	NA	NA	111
5	E03	sample	ADCY6	NA	NA	NA	112
5	E05	sample	ADCY7	NA	NA	NA	113
5	E07	sample	ADCY8	NA	NA	NA	114
5	E09	sample	ADCY9	NA	NA	NA	115
5	E11	sample	ADCYAP1	NA	NA	NA	116
5	E13	sample	ADCYAP1R1	NA	NA	NA	117
5	E15	sample	ADD1	NA	NA	NA	118
