Plate	Well	GeneID	Entrez_gene_ID	sub_lib	Gene Accession
Plate 1	A01	siCON1	neg		
Plate 1	A02	siCON1	neg		
Plate 1	A03	KAT2A	2648	EPI	NM_021078
Plate 1	A04	ATXN7	6314	EPI	NM_000333
Plate 1	A05	PKN1	5585	EPI	NM_002741
Plate 1	A06	SETDB2	83852	EPI	NM_031915
Plate 1	A07	NCOR2	9612	EPI	NM_001077261
Plate 1	A08	SIRT6	51548	EPI	NM_016539
Plate 1	A09	BCAS3	54828	EPI	NM_017679
Plate 1	A10	TWIST1	7291	EPI	NM_000474
Plate 1	A11	HDAC1	3065	EPI	NM_004964
Plate 1	A12	TH	7054	EPI	NM_000360
Plate 1	A13	WDR82	80335	EPI	NM_025222
Plate 1	A14	H2AFX	3014	EPI	NM_002105
Plate 1	A15	CXCR4	7852	EPI	NM_003467
Plate 1	A16	CXADR	1525	EPI	NM_001338
Plate 1	A17	SNAI1	6615	EPI	NM_005985
Plate 1	A18	NR2C1	7181	EPI	NM_001032287
Plate 1	A19	HPSE	10855	EPI	NM_001098540
Plate 1	A20	MEAF6	64769	EPI	NM_022756
Plate 1	A21	NAT10	55226	EPI	NM_024662
Plate 1	A22	SPEN	23013	EPI	NM_015001
Plate 1	A23	siCON1	neg		
Plate 1	A24	siCON1	neg		
Plate 1	B01	siCON1	neg		
Plate 1	B02				
Plate 1	B03	SDC1	6382	EPI	NM_002997
Plate 1	B04				
Plate 1	B05	CBX5	23468	EPI	NM_012117
Plate 1	B06				
Plate 1	B07	CDY1B	253175	EPI	NM_001003894
Plate 1	B08				
Plate 1	B09	CBFA2T2	9139	EPI	NM_001032999
Plate 1	B10				
Plate 1	B11	RUNX1T1	862	EPI	NM_004349
Plate 1	B12				
Plate 1	B13	NUDT21	11051	EPI	NM_007006
Plate 1	B14				
Plate 1	B15	SUPT7L	9913	EPI	NM_014860
Plate 1	B16				
Plate 1	B17	ANKRD1	27063	EPI	NM_014391
Plate 1	B18				
Plate 1	B19	NQO1	1728	EPI	NM_001025434
Plate 1	B20				
Plate 1	B21	SUZ12	23512	EPI	NM_015355
Plate 1	B22				
Plate 1	B23	siCON1	neg		
Plate 1	B24				
Plate 1	C01	siCON1	neg		
Plate 1	C02	siCON1	neg		
Plate 1	C03	TERT	7015	EPI	NM_198255
Plate 1	C04	ING5	84289	EPI	NM_032329
Plate 1	C05	SUN1	23353	EPI	NM_025154
Plate 1	C06	KIAA1310	55683	EPI	NM_017991
Plate 1	C07	TADA3	10474	EPI	NM_006354
Plate 1	C08	CLGN	1047	EPI	NM_004362
Plate 1	C09	MAGEA1	4100	EPI	NM_004988
Plate 1	C10	SPI1	6688	EPI	NM_003120
Plate 1	C11	EZH2	2146	EPI	NM_152998
Plate 1	C12	CREBBP	1387	EPI	NM_001079846
Plate 1	C13	HOXA10	3206	EPI	NM_153715
Plate 1	C14	HDAC10	83933	EPI	NM_032019
Plate 1	C15	HDAC4	9759	EPI	NM_006037
Plate 1	C16	EPC2	26122	EPI	NM_015630
Plate 1	C17	TAL1	6886	EPI	NM_003189
Plate 1	C18	ANKRA2	57763	EPI	NM_023039
Plate 1	C19	FES	2242	EPI	NM_002005
Plate 1	C20	SAP18	10284	EPI	NM_005870
Plate 1	C21	CARM1	10498	EPI	NM_199141
Plate 1	C22	TRDMT1	1787	EPI	NM_176081
Plate 1	C23	siCON1	neg		
Plate 1	C24	siCON1	neg		
Plate 1	D01	siCON1	neg		
Plate 1	D02	siCON1	neg		
Plate 1	D03	TNFSF10	8743	EPI	NM_003810
Plate 1	D04				
Plate 1	D05	ASH2L	9070	EPI	NM_004674
Plate 1	D06				
Plate 1	D07	SAP30	8819	EPI	NM_003864
Plate 1	D08				
Plate 1	D09	HDAC6	10013	EPI	NM_006044
Plate 1	D10				
Plate 1	D11	NCOR1	9611	EPI	NM_006311
Plate 1	D12				
