Plate	Well	PreCursor	Gene_symbol	Gene_ID	Sub_lib
1	A01				
1	A02				
1	A03	NM_003318	TTK	7272	KIN
1	A04	NM_006218	PIK3CA	5290	KIN
1	A05	NM_003177	SYK	6850	KIN
1	A06	NM_032435	KIAA1804	84451	KIN
1	A07	NM_001006943	EPHA8	2046	KIN
1	A08	NM_017567	GK	55577	KIN
1	A09	NM_001081562	DMPK	1760	KIN
1	A10	NM_001569	IRAK1	3654	KIN
1	A11	NM_025233	COASY	80347	KIN
1	A12	NM_013302	EEF2K	29904	KIN
1	A13	NM_001083615	MYO3B	140469	KIN
1	A14	NM_178510	ANKK1	255239	KIN
1	A15	NM_006648	PRKWNK2	65268	KIN
1	A16	NM_005923	MAP3K5	4217	KIN
1	A17	NM_005607	PTK2	5747	KIN
1	A18	NM_006251	PRKAA1	5562	KIN
1	A19	NM_005246	FER	2241	KIN
1	A20	NM_001006944	RPS6KA4	8986	KIN
1	A21	NM_172084	CAMK2B	816	KIN
1	A22	NM_006888	CALM1	801	KIN
1	A23				
1	A24				
1	B01				
1	B02				
1	B03	NM_006609	MAP3K2	10746	KIN
1	B04	NM_031414	STK31	56164	KIN
1	B05	NM_014572	LATS2	26524	KIN
1	B06	NM_005465	AKT3	10000	KIN
1	B07	NM_014308	P101-PI3K	23533	KIN
1	B08	NM_016231	NLK	51701	KIN
1	B09	NM_001080745	DGKG	1608	KIN
1	B10	NM_004566	PFKFB3	5209	KIN
1	B11	NM_015016	MAST3	23031	KIN
1	B12	NM_007170	TESK2	10420	KIN
1	B13	NM_004952	EF3	1944	KIN
1	B14	NM_004440	EPHA7	2045	KIN
1	B15	NM_005881	BCKDK	10295	KIN
1	B16	NM_080836	STK35	140901	KIN
1	B17	NM_002220	ITPKA	3706	KIN
1	B18	NM_000455	STK11	6794	KIN
1	B19	NM_014397	NEK6	10783	KIN
1	B20	NM_004972	JAK2	3717	KIN
1	B21	NM_001715	BLK	640	KIN
1	B22	NM_001113182	BRD2	6046	KIN
1	B23				
1	B24				
1	C01				
1	C02				
1	C03	NM_001077401	ACVRL1	94	KIN
1	C04	NM_152534	FLJ32685	152110	KIN
1	C05	NM_001111097	LYN	4067	KIN
1	C06	NM_025194	ITPKC	80271	KIN
1	C07	NM_005443	PAPSS1	9061	KIN
1	C08	NM_182472	EPHA5	2044	KIN
1	C09	NM_002747	MAPK4	5596	KIN
1	C10	NM_182493	MLCK	91807	KIN
1	C11	NM_032844	MASTL	84930	KIN
1	C12	NM_006742	PSKH1	5681	KIN
1	C13	NM_025195	TRIB1	10221	KIN
1	C14	NM_001015879	AURKC	6795	KIN
1	C15	NM_007371	BRD3	8019	KIN
1	C16	NM_005400	PRKCE	5581	KIN
1	C17	NM_152649	FLJ34389	197259	KIN
1	C18	NM_000476	AK1	203	KIN
1	C19	NM_000188	HK1	3098	KIN
1	C20	NM_017662	TRPM6	140803	KIN
1	C21	NM_024838	THNSL1	79896	KIN
1	C22	NM_004071	CLK1	1195	KIN
1	C23				
1	C24				
1	D01				
1	D02				
1	D03	NM_001013742	DGKK	139189	KIN
1	D04	NM_001262	CDKN2C	1031	KIN
1	D05	NM_005374	MPP2	4355	KIN
1	D06	NM_002756	MAP2K3	5606	KIN
1	D07	NM_004336	BUB1	699	KIN
1	D08	NM_001042771	LCK	3932	KIN
1	D09	NM_175866	UHMK1	127933	KIN
1	D10	NM_006383	CIB2	10518	KIN
1	D11	NM_002742	PRKCM	5587	KIN
1	D12	NM_014911	AAK1	22848	KIN
1	D13	NM_002651	PIK4CB	5298	KIN
1	D14	NM_005027	PIK3R2	5296	KIN
1	D15	NM_001365	DLG4	1742	KIN
1	D16	NM_001570	IRAK2	3656	KIN
1	D17	NM_000061	BTK	695	KIN
1	D18	NM_001111033	ACVR1C	130399	KIN
